Date,Retailer,Company,Margin,Amount
7/14/2019,Cash,AnchorVolt Industries,74.17,301.59
7/14/2019,Cash,AnchorVolt Industries,48.34,179.81
7/14/2019,Cash,HavellCore Technologies,15.72,63.00
7/14/2019,Cash,BharatElectra Works,123.21,3178.20
7/14/2019,Cash,BharatElectra Works,69.54,2304.18
7/14/2019,Cash,BharatElectra Works,378.33,934.00
7/14/2019,Cash,ZenithWeld Electric,703.94,1855.20
7/14/2019,Cash,BharatElectra Works,528.00,7403.00
7/14/2019,Cash,SupraVolt Manufacturing,6.59,53.60
7/15/2019,VoltMaster,SupraVolt Manufacturing,70.85,955.00
7/15/2019,VoltMaster,SupraVolt Manufacturing,179.40,1017.00
7/15/2019,VoltMaster,SupraVolt Manufacturing,163.00,1201.00
7/16/2019,ElectroGenius,SupraVolt Manufacturing,1215.95,4901.00
7/16/2019,ElectroGenius,SupraVolt Manufacturing,363.80,2043.00
7/16/2019,PowerPulse,AnchorVolt Industries,347.62,2941.40
7/16/2019,PulseCraft Depot,NexaGrid Solutions,41.31,204.00
7/16/2019,PulseCraft Depot,OrionVolt Systems,26.44,98.54
7/16/2019,PulseCraft Depot,AnchorVolt Industries,55.62,127.40
7/16/2019,PulseCraft Depot,AnchorVolt Industries,127.75,423.50
7/16/2019,PulseCraft Depot,Others,2.00,28.20
7/16/2019,PulseCraft Depot,PowerShakti Engineering,37.30,404.20
7/16/2019,PulseCraft Depot,Others,47.00,388.00
7/16/2019,PulseCraft Depot,VoltIndus Fabrications,193.04,594.00
7/16/2019,PulseCraft Depot,OrionVolt Systems,321.87,805.80
7/16/2019,PulseCraft Depot,OrionVolt Systems,51.95,161.70
7/16/2019,PulseCraft Depot,OrionVolt Systems,33.87,106.60
7/16/2019,ElectroFusion,FusionAnchor Technologies,113.06,665.74
7/16/2019,ElectroFusion,FusionAnchor Technologies,451.87,2689.38
7/16/2019,BrightCircuit,AnchorVolt Industries,374.88,2548.00
7/16/2019,BrightCircuit,SupraVolt Manufacturing,139.16,1430.00
7/16/2019,BrightCircuit,SupraVolt Manufacturing,227.00,1273.00
7/16/2019,BrightCircuit,SupraVolt Manufacturing,239.40,1058.00
7/16/2019,PulseCraft Depot,ApexVolt Industries,29.63,136.00
7/16/2019,PulseCraft Depot,HavellCore Technologies,5.08,30.40
7/16/2019,PulseCraft Depot,PowerShakti Engineering,12.05,142.40
7/16/2019,PulseCraft Depot,OrionVolt Systems,37.28,79.60
7/16/2019,PulseCraft Depot,OrionVolt Systems,100.76,335.28
7/18/2019,ElectroEmpire,SupraVolt Manufacturing,607.48,2452.00
7/18/2019,ElectroEmpire,SupraVolt Manufacturing,215.55,2835.00
7/18/2019,ElectroEmpire,SupraVolt Manufacturing,117.64,614.00
7/18/2019,ElectroEmpire,SupraVolt Manufacturing,156.00,1204.00
7/19/2019,Cash,AnchorVolt Industries,293.76,1923.07
7/19/2019,Cash,AnchorVolt Industries,414.88,2983.05
7/19/2019,Cash,BharatElectra Works,-9.22,1519.20
7/19/2019,ElectroSphere,AnchorVolt Industries,1493.91,4992.62
7/19/2019,ElectroSphere,AnchorVolt Industries,166.64,1168.00
7/19/2019,ElectroSphere,AnchorVolt Industries,376.97,2555.00
7/19/2019,ElectroSphere,AnchorVolt Industries,261.76,2037.10
7/19/2019,ElectroSphere,AnchorVolt Industries,202.77,1550.00
7/19/2019,ElectroSphere,AnchorVolt Industries,-34.69,472.00
7/19/2019,ElectroSphere,SupraVolt Manufacturing,102.95,323.00
7/19/2019,ElectroSphere,OrionVolt Systems,462.38,952.00
7/19/2019,ElectroSphere,OrionVolt Systems,368.37,1469.08
7/20/2019,CurrentCraft,SupraVolt Manufacturing,77.85,948.00
7/20/2019,CurrentCraft,SupraVolt Manufacturing,111.64,618.00
7/20/2019,CurrentCraft,SupraVolt Manufacturing,82.79,418.00
7/20/2019,CurrentCraft,SupraVolt Manufacturing,188.81,1543.00
7/20/2019,Cash,SupraVolt Manufacturing,54.40,140.00
7/20/2019,Cash,ApexVolt Industries,399.89,425.15
7/20/2019,Cash,AnchorVolt Industries,138.27,607.18
7/20/2019,Cash,AnchorVolt Industries,75.39,297.44
7/20/2019,Cash,AnchorVolt Industries,141.35,456.36
7/20/2019,Cash,AnchorVolt Industries,43.51,168.37
7/20/2019,Cash,AnchorVolt Industries,24.72,105.69
7/20/2019,Cash,AnchorVolt Industries,38.61,141.88
7/20/2019,Cash,AnchorVolt Industries,149.67,541.30
7/20/2019,Cash,VoltIndus Fabrications,43.00,174.00
7/20/2019,Cash,BharatElectra Works,363.70,3815.00
7/20/2019,Cash,SupraVolt Manufacturing,36.03,114.00
7/20/2019,Cash,SupraVolt Manufacturing,32.51,55.00
7/20/2019,BrightCircuit,OrionVolt Systems,289.60,1734.00
7/20/2019,BrightCircuit,OrionVolt Systems,296.60,1725.00
7/20/2019,BrightCircuit,OrionVolt Systems,1323.60,5191.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,46.72,486.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,68.24,472.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,38.88,209.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,203.97,820.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,82.79,413.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,50.94,266.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,69.94,303.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,50.08,210.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,19.68,162.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,123.30,629.00
7/21/2019,VoltageVault,SupraVolt Manufacturing,31.10,202.00
7/21/2019,VoltageVault,OrionVolt Systems,309.26,1415.40
7/21/2019,SparkWave,AnchorVolt Industries,455.72,3880.80
7/21/2019,SparkWave,SupraVolt Manufacturing,20.68,159.00
7/21/2019,SparkWave,SupraVolt Manufacturing,66.28,234.00
7/21/2019,SparkWave,SupraVolt Manufacturing,40.45,226.00
7/23/2019,WattWizard,AnchorVolt Industries,382.72,2946.40
7/23/2019,WattWizard,AnchorVolt Industries,122.08,944.40
7/23/2019,WattWizard,AnchorVolt Industries,160.45,1177.40
7/23/2019,WattWizard,AnchorVolt Industries,181.09,1306.30
7/23/2019,WattWizard,AnchorVolt Industries,244.04,1880.80
